Player,OE,PER,PM,POS,Team
d.jordan,1.107329843,18.19,8.239554318,C,lac
a.drummond,1.086680761,22.65,-4.296863045,C,det
r.lopez,0.901052632,17.68,5.772500957,C,por
c.andersen,0.899082569,18.56,5.570200573,C,mia
r.turiaf,0.878787879,13.84,-1.815789474,C,min
s.adams,0.867088608,11.25,2.28,C,okc
b.wright,0.86440678,23.6,5.451523546,C,dal
a.bogut,0.861386139,17.11,8.352542373,C,gsw
t.chandler,0.853741497,16.48,0.374774775,C,nyk
s.dalembert,0.826229508,16.88,0.565055762,C,dal
g.stiemsma,0.815384615,9.75,-8.150943396,C,nop
j.withey,0.753968254,15.25,2.026200873,C,nop
j.hill,0.745614035,19.39,-9.721518987,C,lal
o.asik,0.735632184,14.05,2.887966805,C,hou
j.noah,0.709536308,20.06,3.917672108,C,chi
i.mahinmi,0.703030303,10.18,0.306464485,C,ind
g.dieng,0.700460829,16.58,-2.338611449,C,min
d.blair,0.698254364,17.33,-0.473294988,C,dal
h.sims,0.692015209,16.14,-7.553021665,C,phi
n.pekovic,0.681528662,20.72,8.072072072,C,min
a.ajinca,0.67953668,14.62,-4.991596639,C,nop
m.gortat,0.656666667,17.66,5.269172932,C,was
k.koufos,0.655172414,16.54,1.314581791,C,mem
z.pachulia,0.653669725,14.03,-6.571860817,C,mil
d.howard,0.649784483,21.36,6.831385643,C,hou
j.valanciunas,0.646511628,16.17,1.913272011,C,tor
l.sanders,0.646258503,14.02,-9.092150171,C,mil
n.mohammed,0.632478632,10.18,-1.28113879,C,chi
n.vucevic,0.628610729,18.85,-4.683572216,C,orl
j.o'neal,0.625,15.34,1.306122449,C,gsw
t.mozgov,0.621863799,16.77,0.622322435,C,den
r.sacre,0.619808307,12.17,-6.719121683,C,lal
b.lopez,0.61965812,25.5,-2.071294559,C,brk
g.monroe,0.615314494,18.16,-2.709246194,C,det
e.kanter,0.581176471,15.7,-10.79887746,C,uta
m.gasol,0.578616352,18.27,0.388663968,C,mem
a.jefferson,0.570380254,22.75,0.563159953,C,cha
k.perkins,0.57037037,6.32,1.751243781,C,okc
n.hilario,0.565707134,16.67,3.595390525,C,was
d.cousins,0.557651992,26.18,-0.37630662,C,sac
s.hawes,0.552405498,15.77,-9.37439222,C,cle
s.hawes,0.552405498,15.77,-9.37439222,C,phi
