Player,PS,GP,Min,FGM,FGA,3M,3A,FTM,FTA,OR,TR,AS,ST,TO,BK,PF,DQ,PTS,TC,EJ,FF,Sta,+/-,OE,PER
k.durant (okc),SF,81,3118,849,1688,192,491,703,805,58,599,445,103,285,59,174,0,2593,16,0,0,81,510,,29.9
l.james (mia),SF,77,2903,767,1353,116,306,439,585,81,533,488,121,270,26,126,1,2089,5,0,0,77,409,,29.4
k.love (min),PF,77,2797,650,1422,190,505,520,633,224,963,343,59,195,35,136,0,2010,3,0,0,77,355,,26.97
a.davis (nop),PF,67,2360,522,1005,2,9,348,440,207,673,105,89,109,189,200,1,1394,3,0,0,66,-114,,26.54
d.cousins (sac),C,71,2296,591,1191,0,7,432,595,218,831,207,109,251,91,270,4,1614,16,0,0,71,-18,,26.18
c.paul (lac),PG,62,2168,406,870,78,212,295,345,38,268,663,154,145,4,157,1,1185,10,0,0,62,530,,25.98
b.lopez (brk),C,17,533,129,229,0,1,94,115,39,102,16,9,28,30,52,0,352,0,0,0,17,-23,,25.5
r.westbrook (okc),PG,46,1409,347,792,68,214,242,293,55,263,319,88,177,7,104,1,1004,10,0,0,46,221,,24.74
c.anthony (nyk),SF,77,2981,743,1644,167,415,459,541,144,621,239,96,198,51,224,0,2112,11,0,0,77,103,,24.5
s.curry (gsw),PG,78,2843,652,1383,261,615,308,348,46,334,667,129,294,14,194,1,1873,0,0,0,78,574,,24.13
b.griffin (lac),PF,80,2864,718,1359,12,44,482,674,192,757,306,92,224,51,265,4,1930,19,0,0,80,570,,23.98
d.nowitzki (dal),PF,80,2625,632,1272,131,329,338,376,40,498,216,73,118,45,165,1,1733,7,0,0,80,322,,23.68
b.wright (dal),C,58,1083,224,331,0,0,77,106,102,244,31,32,35,55,94,0,525,0,0,0,0,123,,23.6
j.harden (hou),SG,73,2780,549,1204,177,483,576,665,61,345,445,114,265,29,177,0,1851,5,0,0,73,408,,23.51
a.jefferson (cha),C,73,2557,700,1376,3,15,191,277,156,792,155,67,124,79,176,1,1594,5,0,0,73,30,,22.75
a.drummond (det),C,81,2614,479,769,0,2,137,328,440,1071,35,102,109,131,273,3,1095,9,0,0,81,-234,,22.65
a.horford (atl),PF,29,960,238,420,4,11,58,85,66,244,75,27,64,44,56,0,538,1,0,0,29,73,,22.08
d.wade (mia),SG,54,1776,415,760,9,32,189,258,59,241,253,79,161,29,106,0,1028,5,0,0,53,141,,22.06
l.aldridge (por),PF,69,2496,652,1423,3,15,296,360,166,766,178,64,122,69,147,1,1603,2,0,0,69,367,,21.84
g.dragic (pho),PG,76,2671,552,1093,122,299,316,416,69,245,448,104,213,22,206,1,1542,7,0,0,75,301,,21.43
t.duncan (sas),PF,74,2155,444,906,0,5,231,316,158,722,220,43,159,139,134,2,1119,8,0,0,74,304,,21.4
d.howard (hou),C,71,2396,473,801,2,7,349,638,232,866,130,60,229,128,240,0,1297,13,0,0,71,341,,21.36
n.pekovic (min),C,54,1665,379,701,0,0,186,249,206,468,49,30,84,23,129,0,944,2,0,0,54,280,,20.72
i.thomas (sac),PG,72,2492,496,1096,127,364,346,407,47,210,454,93,213,8,185,0,1465,10,0,0,54,29,,20.54
k.lowry (tor),PG,79,2861,457,1080,190,500,313,385,88,369,585,121,194,15,267,5,1417,10,0,0,79,269,,20.2
p.george (ind),SG,80,2902,576,1361,182,500,401,464,66,543,283,151,224,22,198,0,1735,8,0,0,80,375,,20.16
k.irving (cle),PG,71,2496,532,1237,123,344,291,338,52,259,433,108,190,23,163,0,1478,0,0,0,71,-220,,20.14
m.conley (mem),PG,73,2447,463,1030,105,291,225,276,41,213,439,110,150,13,141,1,1256,0,0,0,73,151,,20.07
j.noah (chi),C,80,2818,380,800,0,2,247,335,282,901,431,99,194,123,245,2,1007,12,0,0,80,230,,20.06
m.ginobili (sas),SG,68,1554,294,627,90,258,160,188,30,204,291,70,139,17,128,0,838,0,0,0,3,421,,20.06
k.faried (den),SF,80,2179,447,820,0,3,202,311,237,683,95,70,135,69,193,0,1096,5,0,0,77,-158,,19.9
p.millsap (atl),PF,74,2481,483,1047,76,212,286,391,154,627,232,129,185,78,210,3,1328,1,0,0,73,124,,19.83
s.ibaka (okc),PF,81,2667,524,978,23,60,156,199,224,709,84,39,122,219,233,0,1227,9,0,0,81,405,,19.66
e.bledsoe (pho),PG,43,1416,265,556,50,140,183,237,27,202,236,69,143,14,99,0,763,3,0,0,40,135,,19.62
