"","Player","PS","GP","Min","FGM","FGA","X3M","X3A","FTM","FTA","OR","TR","AS","ST","TO","BK","PF","DQ","PTS","TC","EJ","FF","Sta","X...","OE","PER","AdjPER","Delta"
"1","k.durant (okc)","SF",81,3118,849,1688,192,491,703,805,58,599,445,103,285,59,174,0,2593,16,0,0,81,510,NA,29.9,30.5755707910122,0.675570791012184
"2","l.james (mia)","SF",77,2903,767,1353,116,306,439,585,81,533,488,121,270,26,126,1,2089,5,0,0,77,409,NA,29.4,28.5792511591829,0.820748840817082
"3","k.love (min)","PF",77,2797,650,1422,190,505,520,633,224,963,343,59,195,35,136,0,2010,3,0,0,77,355,NA,26.97,28.7394854268845,1.76948542688452
"4","a.davis (nop)","PF",67,2360,522,1005,2,9,348,440,207,673,105,89,109,189,200,1,1394,3,0,0,66,-114,NA,26.54,26.1884001940551,0.351599805944918
"5","d.cousins (sac)","C",71,2296,591,1191,0,7,432,595,218,831,207,109,251,91,270,4,1614,16,0,0,71,-18,NA,26.18,26.281384195696,0.101384195695989
"6","c.paul (lac)","PG",62,2168,406,870,78,212,295,345,38,268,663,154,145,4,157,1,1185,10,0,0,62,530,NA,25.98,27.6318054404004,1.65180544040037
"7","b.lopez (brk)","C",17,533,129,229,0,1,94,115,39,102,16,9,28,30,52,0,352,0,0,0,17,-23,NA,25.5,24.9291402275685,0.570859772431515
"8","r.westbrook (okc)","PG",46,1409,347,792,68,214,242,293,55,263,319,88,177,7,104,1,1004,10,0,0,46,221,NA,24.74,25.8255337861788,1.08553378617885
"9","c.anthony (nyk)","SF",77,2981,743,1644,167,415,459,541,144,621,239,96,198,51,224,0,2112,11,0,0,77,103,NA,24.5,23.7485958763133,0.751404123686687
"10","s.curry (gsw)","PG",78,2843,652,1383,261,615,308,348,46,334,667,129,294,14,194,1,1873,0,0,0,78,574,NA,24.13,25.282589428624,1.15258942862399
"11","b.griffin (lac)","PF",80,2864,718,1359,12,44,482,674,192,757,306,92,224,51,265,4,1930,19,0,0,80,570,NA,23.98,25.2352136214993,1.2552136214993
"12","d.nowitzki (dal)","PF",80,2625,632,1272,131,329,338,376,40,498,216,73,118,45,165,1,1733,7,0,0,80,322,NA,23.68,24.1307216621897,0.450721662189718
"13","b.wright (dal)","C",58,1083,224,331,0,0,77,106,102,244,31,32,35,55,94,0,525,0,0,0,0,123,NA,23.6,23.4365426678393,0.163457332160668
"14","j.harden (hou)","SG",73,2780,549,1204,177,483,576,665,61,345,445,114,265,29,177,0,1851,5,0,0,73,408,NA,23.51,24.3624119002317,0.852411900231658
"15","a.jefferson (cha)","C",73,2557,700,1376,3,15,191,277,156,792,155,67,124,79,176,1,1594,5,0,0,73,30,NA,22.75,22.9850608465999,0.235060846599918
"16","a.drummond (det)","C",81,2614,479,769,0,2,137,328,440,1071,35,102,109,131,273,3,1095,9,0,0,81,-234,NA,22.65,22.8635693289503,0.213569328950271
"17","a.horford (atl)","PF",29,960,238,420,4,11,58,85,66,244,75,27,64,44,56,0,538,1,0,0,29,73,NA,22.08,22.9460703548625,0.866070354862504
"18","d.wade (mia)","SG",54,1776,415,760,9,32,189,258,59,241,253,79,161,29,106,0,1028,5,0,0,53,141,NA,22.06,21.6406291067331,0.41937089326689
"19","l.aldridge (por)","PF",69,2496,652,1423,3,15,296,360,166,766,178,64,122,69,147,1,1603,2,0,0,69,367,NA,21.84,22.9807411335649,1.14074113356491
"20","g.dragic (pho)","PG",76,2671,552,1093,122,299,316,416,69,245,448,104,213,22,206,1,1542,7,0,0,75,301,NA,21.43,21.4713827296645,0.0413827296645373
"21","t.duncan (sas)","PF",74,2155,444,906,0,5,231,316,158,722,220,43,159,139,134,2,1119,8,0,0,74,304,NA,21.4,22.2186679554237,0.818667955423667
"22","d.howard (hou)","C",71,2396,473,801,2,7,349,638,232,866,130,60,229,128,240,0,1297,13,0,0,71,341,NA,21.36,21.7007878484599,0.340787848459929
"23","n.pekovic (min)","C",54,1665,379,701,0,0,186,249,206,468,49,30,84,23,129,0,944,2,0,0,54,280,NA,20.72,21.9778038078487,1.25780380784865
"24","i.thomas (sac)","PG",72,2492,496,1096,127,364,346,407,47,210,454,93,213,8,185,0,1465,10,0,0,54,29,NA,20.54,20.6440187983844,0.10401879838442
"25","k.lowry (tor)","PG",79,2861,457,1080,190,500,313,385,88,369,585,121,194,15,267,5,1417,10,0,0,79,269,NA,20.2,20.4316402670311,0.231640267031104
"26","p.george (ind)","SG",80,2902,576,1361,182,500,401,464,66,543,283,151,224,22,198,0,1735,8,0,0,80,375,NA,20.16,20.4583206527988,0.298320652798758
"27","k.irving (cle)","PG",71,2496,532,1237,123,344,291,338,52,259,433,108,190,23,163,0,1478,0,0,0,71,-220,NA,20.14,20.5415892949976,0.401589294997592
"28","m.conley (mem)","PG",73,2447,463,1030,105,291,225,276,41,213,439,110,150,13,141,1,1256,0,0,0,73,151,NA,20.07,19.636124061575,0.433875938425011
"29","j.noah (chi)","C",80,2818,380,800,0,2,247,335,282,901,431,99,194,123,245,2,1007,12,0,0,80,230,NA,20.06,20.2420046577488,0.18200465774876
"30","m.ginobili (sas)","SG",68,1554,294,627,90,258,160,188,30,204,291,70,139,17,128,0,838,0,0,0,3,421,NA,20.06,20.9496009187529,0.889600918752894
"31","k.faried (den)","SF",80,2179,447,820,0,3,202,311,237,683,95,70,135,69,193,0,1096,5,0,0,77,-158,NA,19.9,21.0915011863066,1.19150118630657
"32","p.millsap (atl)","PF",74,2481,483,1047,76,212,286,391,154,627,232,129,185,78,210,3,1328,1,0,0,73,124,NA,19.83,21.1467297934534,1.31672979345344
"33","s.ibaka (okc)","PF",81,2667,524,978,23,60,156,199,224,709,84,39,122,219,233,0,1227,9,0,0,81,405,NA,19.66,20.0607425544027,0.400742554402697
"34","e.bledsoe (pho)","PG",43,1416,265,556,50,140,183,237,27,202,236,69,143,14,99,0,763,3,0,0,40,135,NA,19.62,19.8932123333898,0.273212333389825
"35","j.wall (was)","PG",82,2980,579,1337,108,308,317,394,38,333,719,149,295,39,219,1,1583,2,0,0,82,195,NA,19.61,20.1593092335705,0.549309233570472
"36","k.leonard (sas)","SF",66,1924,337,645,69,182,101,126,76,411,133,114,80,49,127,0,844,0,0,0,65,376,NA,19.43,20.3511752897931,0.92117528979314
"37","j.hill (lal)","C",72,1501,286,521,0,1,124,181,194,535,54,29,75,65,172,2,696,1,0,0,32,-304,NA,19.39,21.1045029577615,1.71450295776149
"38","p.gasol (lal)","PF",60,1883,425,885,4,14,187,254,124,580,201,27,141,92,124,0,1041,0,0,0,60,-354,NA,19.34,21.1284737473287,1.78847374732873
"39","d.lee (gsw)","PF",69,2288,513,980,0,1,231,296,183,644,147,48,153,26,206,4,1257,1,0,0,67,467,NA,19.21,20.2262627716206,1.01626277162062
"40","t.jones (hou)","PF",76,2083,386,713,31,102,118,195,162,528,87,54,71,99,139,0,921,1,0,0,71,125,NA,19.14,19.6731195157072,0.533119515707153
"41","c.bosh (mia)","PF",79,2529,492,954,74,219,223,272,98,522,87,80,124,78,192,1,1281,3,0,0,79,447,NA,19.11,19.0062601783559,0.103739821644123
"42","m.plumlee (brk)","PF",70,1275,199,302,0,3,122,195,99,308,60,49,77,55,171,3,520,0,0,0,22,-87,NA,19.09,18.8773567693412,0.212643230658827
