Player,PS,GP,Min,Pts,FGM,FGA,3M,3A,FTM,FTA,OR,TR,AS,ST,TO,BK,PF,DQ,PTS,TC,EJ,FF,Sta,+/-,OE,PER,PER,Var,,FGM_Weight,FGA_Weight,ThrPTM_Weight,FTM_Weight,Blk_Weight,OffReb_Weight,Ast_Weight,DefReb_Weight,Foul_Weight,FTA_Weight,Stl_Weight,TO_Weight,,,,,
d.jordan (lac),C,82,2872,536,348,515,0,0,160,374,331,1114,75,80,123,203,264,2,856,7,0,0,82,493,1.107,18.19,18.76833748,0.578337484,,3.534005716,1.091600799,1.449853942,2.074151336,1.020691649,1.132367194,1.002983237,0.44830795,0.392726959,0.710666084,1.735893006,1.611802748,,,,,
b.biyombo (cha),PF,77,1073,130,88,144,0,0,46,89,105,366,8,7,40,86,124,1,222,1,0,0,9,-46,1.103,13.33,13.2562956,0.073704397,,,,,,,,,,,,,,,,,,
a.drummond (det),C,81,2614,821,479,769,0,2,137,328,440,1071,35,102,109,131,273,3,1095,9,0,0,81,-234,1.087,22.65,22.83532288,0.185322878,,,,,,,,,,,,,,,,,,
r.lopez (por),C,82,2611,512,355,644,0,1,198,242,326,698,73,26,84,139,196,2,908,6,0,0,82,314,0.901,17.68,17.96577202,0.285772021,,,,,,,,,,,,,,,,,,
c.andersen (mia),C,72,1396,243,177,275,3,12,120,169,129,379,19,32,53,97,162,1,477,1,0,0,0,162,0.899,18.56,18.12551179,0.43448821,,,,,,,,,,,,,,,,,,
r.turiaf (min),C,31,608,107,64,107,0,0,21,50,55,174,23,8,24,50,65,1,149,0,0,0,10,-23,0.879,13.84,14.41948291,0.579482905,,,,,,,,,,,,,,,Obj,Min Var,0.183206055,
s.adams (okc),C,81,1200,107,93,185,0,0,79,136,142,332,44,40,71,57,203,3,265,1,0,0,20,57,0.867,11.25,11.87690176,0.626901762,,,,,,,,,,,,,,,,,,
b.wright (dal),C,58,1083,371,224,331,0,0,77,106,102,244,31,32,35,55,94,0,525,0,0,0,0,123,0.864,23.6,23.43007215,0.16992785,,,,,,,,,,,,,,,Constraints,,,
a.bogut (gsw),C,67,1770,448,235,375,0,0,22,64,181,670,113,48,97,119,210,3,492,7,0,0,67,308,0.861,17.11,17.83645042,0.726450419,,,,,,,,,,,,,,,,,,
t.chandler (nyk),C,55,1665,284,191,322,0,1,98,155,159,529,60,37,71,63,145,2,480,8,0,0,55,13,0.854,16.48,15.98998989,0.490010113,,,,,,,,,,,,,,,,Avg,14.9,15.1
s.dalembert (dal),C,80,1614,327,214,377,0,1,101,137,200,541,38,41,90,94,210,0,529,1,0,0,68,19,0.826,16.88,17.21551303,0.335513033,,,,,,,,,,,,,,,,AVg,14.9,
g.stiemsma (nop),C,55,1007,121,70,122,0,1,19,32,72,226,36,35,44,57,169,3,159,4,0,0,20,-171,0.815,9.75,10.14310308,0.393103081,,,,,,,,,,,,,,,,,,
