Year,Team,G,W,MP,FG,FGA,FG.,TwoP,TwoPA,TwoPct,ThreeP,ThreePA,ThreePct,FT,FTA,FTPct,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PTS.G,oppG,oppMP,oppFG,oppFGA,oppFG.,oppTwoP,oppTwoPA,oppTwoPct,oppThreeP,oppThreePA,oppThreePct,oppFT,oppFTA,oppFTPct,oppORB,oppDRB,oppTRB,oppAST,oppSTL,oppBLK,oppTOV,oppPF,oppPTS,oppPTS.G,Team OE,Opp OE,Team DE,Opp DE,,,,,,,,,,,,,
2015,Abilene Christian,31,7,6200,695,1684,0.413,463,1074,0.431,232,610,0.38,354,487,0.727,274,623,897,394,203,38,399,661,1976,63.7,31,6200,748,1558,0.48,565,1049,0.539,183,509,0.36,507,737,0.688,313,800,1113,375,180,125,452,527,2186,70.5,0.494325919,0.541988417,1.097499749,0.98612636,,,,,,,,,,,,,
2015,Air Force,29,11,5825,692,1468,0.471,472,876,0.539,220,592,0.372,297,454,0.654,251,628,879,453,181,63,339,513,1901,65.6,29,5825,649,1473,0.441,417,828,0.504,232,645,0.36,346,504,0.687,288,610,898,418,172,102,355,488,1876,64.7,0.569935291,0.54494382,1.077170418,1.094037753,,,,,,,,,,,,,
2015,Akron,31,17,6228,746,1788,0.417,456,964,0.473,290,824,0.352,354,543,0.652,389,722,1111,394,218,137,378,579,2136,68.9,31,6228,676,1635,0.413,497,1120,0.444,179,515,0.348,456,670,0.681,334,740,1074,346,217,83,408,524,1987,64.1,0.525103639,0.497323601,1.005058169,1.071106208,,,,,,,,,,,,,
2015,Alabama,31,17,6248,689,1574,0.438,486,933,0.521,203,641,0.317,493,688,0.717,307,725,1032,321,203,117,382,599,2074,66.9,31,6248,671,1622,0.414,481,1034,0.465,190,588,0.323,448,637,0.703,334,688,1022,363,163,75,389,607,1980,63.9,0.512690355,0.506862745,1.024950823,1.077850535,,,,,,,,,,,,,
2015,Alabama A&M,28,8,5625,586,1487,0.394,424,927,0.457,162,560,0.289,403,625,0.645,361,609,970,341,157,65,396,549,1737,62,28,5625,693,1538,0.451,545,1087,0.501,148,451,0.328,390,618,0.631,350,638,988,331,195,86,327,538,1924,68.7,0.497584541,0.554712893,1.091817047,0.980248307,,,,,,,,,,,,,
2015,Alabama State,27,16,5424,706,1604,0.44,545,1164,0.468,161,440,0.366,358,554,0.646,348,707,1055,366,169,108,369,485,1931,71.5,27,5424,637,1531,0.416,480,1049,0.458,157,482,0.326,357,551,0.648,280,648,928,317,193,77,366,495,1788,66.2,0.538422903,0.49327818,0.973114183,1.045705621,,,,,,,,,,,,,
2015,Alabama-Birmingham,30,15,6175,726,1693,0.429,567,1202,0.472,159,491,0.324,466,621,0.75,363,732,1095,420,205,160,411,538,2077,69.2,30,6175,727,1731,0.42,542,1171,0.463,185,560,0.33,418,603,0.693,375,689,1064,361,185,106,407,561,2057,68.6,0.530310042,0.512241055,1.026344676,1.044033377,,,,,,,,,,,,,
2015,Albany (NY),30,22,6024,666,1502,0.443,474,978,0.485,192,524,0.366,461,609,0.757,302,706,1008,319,171,47,358,500,1985,66.2,30,6024,632,1501,0.421,405,876,0.462,227,625,0.363,328,463,0.708,246,616,862,355,148,101,379,567,1819,60.6,0.524773575,0.496229261,0.999890062,1.101798401,,,,,,,,,,,,,
2015,Alcorn State,30,4,5999,669,1738,0.385,526,1224,0.43,143,514,0.278,445,672,0.662,347,622,969,263,174,75,342,534,1926,64.2,30,5999,795,1704,0.467,610,1197,0.51,185,507,0.365,455,670,0.679,346,783,1129,391,149,103,365,533,2230,74.3,0.466933868,0.56102176,1.120040181,0.962134079,,,,,,,,,,,,,
2015,American,31,16,6295,633,1388,0.456,437,847,0.516,196,541,0.362,340,479,0.71,178,611,789,382,179,80,351,458,1802,58.1,31,6295,658,1462,0.45,498,994,0.501,160,468,0.342,330,488,0.676,278,649,927,339,157,87,387,533,1806,58.3,0.52238806,0.521989529,1.022534254,1.028186694,,,,,,,,,,,,,
